"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "warp" "tow_length" "tow_vert_open" "tow_horiz_open" "gridcell" "station"
"72" 523 35 1 65.2361111111111 -23.6405555555556 65.2547222222222 -23.5188888888889 48 56 95 3 5.4 61.8 5231 5233577
"73" 523 36 1 65.3513888888889 -23.5063888888889 65.3247222222222 -23.5905555555556 52 62 95 3 5.2 61.2 5231 5233677
"74" 524 11 3 65.2475 -24.8583333333333 65.1966666666667 -24.8705555555556 90 102 150 3 5 70.6 5243 5241177
"75" 524 12 3 65.1705555555556 -25.0263888888889 65.1216666666667 -25.0013888888889 116 119 200 3 5 73.4 5243 5241277
"76" 524 35 2 65.2688888888889 -24.3805555555556 65.3211111111111 -24.3405555555556 90 140 125 NA 5.1 67.2 5242 5243577
"77" 525 11 1 65.3269444444444 -25.8233333333333 65.3005555555555 -25.92 131 137 210 3 5 77.4 5251 5251177
"78" 525 13 3 65.2541666666667 -25.8913888888889 65.2183333333333 -25.9905555555556 137 147 220 3 4.9 76.6 5253 5251377
"79" 526 3 2 65.4344444444445 -26.4438888888889 65.3838888888889 -26.4380555555556 155 152 240 3 5 77.8 5262 5260377
"80" 526 11 4 65.1675 -26.4230555555556 65.1538888888889 -26.5352777777778 156 161 265 3 5 79 5264 5261177
"81" 527 1 2 65.4272222222222 -27.0094444444444 65.3772222222222 -27.0077777777778 277 258 315 3 5 84 5272 5270177
"82" 561 1 3 65.6 -11.6011111111111 65.6497222222222 -11.5361111111111 260 285 345 3 5 84.8 5613 5610177
"83" 562 1 2 65.7977777777778 -11.9516666666667 65.8297222222222 -12.0425 194 178 240 3 5 80.6 5622 5620177
"84" 562 3 1 65.8166666666667 -12.4975 65.8105555555556 -12.6191666666667 138 141 220 3 4.9 78 5621 5620377
"85" 563 2 4 65.6144444444444 -13.4005555555556 65.6291666666667 -13.5166666666667 104 122 170 3 5.1 74.4 5634 5630277
"86" 563 11 4 65.6225 -13.0494444444444 65.6619444444444 -13.1288888888889 183 202 240 3 5 79 5634 5631177
"87" 564 1 2 65.8411111111111 -14.1097222222222 65.8555555555556 -14.2469444444444 124 147 195 3 5.1 76 5642 5640177
"88" 564 35 3 65.7877777777778 -14.6333333333333 65.7975 -14.5644444444444 108 102 125 2 5.2 68.6 5643 5643577
"89" 569 11 1 66.0052777777778 -19.8308333333333 65.9572222222222 -19.7969444444444 112 88 160 3 5.1 70 5691 5691177
"90" 569 33 1 65.9638888888889 -19.5694444444444 65.9233333333333 -19.5 107 99 165 3 5.1 66.6 5691 5693377
"91" 570 2 1 65.9941666666667 -20.6027777777778 65.9391666666667 -20.5605555555556 145 128 215 3 5.1 70.8 5701 5700277
"92" 570 33 1 65.8027777777778 -20.5119444444444 65.8527777777778 -20.4555555555556 102 110 185 3 5.2 67.8 5701 5703377
"93" 571 1 2 65.9158333333333 -21.1238888888889 65.95 -21.0213888888889 230 220 285 3 4.8 77.5 5712 5710177
"94" 571 33 4 65.6555555555556 -21.0583333333333 65.6083333333333 -21.0777777777778 130 135 185 3 5.2 71 5714 5713377
"95" 571 34 4 65.6638888888889 -21.3888888888889 65.6777777777778 -21.3333333333333 150 145 190 3 5.1 73.8 5714 5713477
"96" 571 35 3 65.6919444444444 -21.6 65.6694444444445 -21.5586111111111 107 116 180 2 5.2 66 5713 5713577
"97" 573 31 1 65.7591666666667 -23.7105555555556 65.7838888888889 -23.8177777777778 86 80 135 3 5.3 62.4 5731 5733177
"98" 574 1 3 65.6733333333333 -25.0002777777778 65.6230555555556 -25.0083333333333 76 73 125 3 5.3 68 5743 5740177
"99" 574 31 3 65.6708333333333 -24.8538888888889 65.6197222222222 -24.855 58 62 100 3 5.3 62.4 5743 5743177
"100" 574 35 2 65.8861111111111 -24.0252777777778 65.9352777777778 -24.0333333333333 45 39 90 3 5.4 57.4 5742 5743577
"101" 575 1 1 65.8522222222222 -25.7838888888889 65.8047222222222 -25.8236111111111 210 198 295 3 5 79 5751 5750177
"102" 575 3 4 65.7361111111111 -25.3027777777778 65.7222222222222 -25.4194444444444 136 167 225 3 4.9 76.6 5754 5750377
"103" 576 2 3 65.7044444444444 -26.5455555555556 65.6625 -26.6013888888889 179 161 275 3 5 78.8 5763 5760277
"104" 576 3 2 65.8211111111111 -26.0138888888889 65.8375 -26.1272222222222 216 250 295 3 4.8 81 5762 5760377
"105" 612 1 4 66.2647222222222 -12.2736111111111 66.25 -12.1438888888889 259 298 350 3 4.9 84 6124 6120177
"106" 612 13 4 66.0047222222222 -12.1580555555556 66.0502777777778 -12.1144444444444 280 268 260 3 4.7 86.6 6124 6121377
"107" 613 3 2 66.3558333333333 -13.2672222222222 66.3886111111111 -13.1513888888889 208 196 280 3 5 79.4 6132 6130377
"108" 613 12 2 66.25 -13.4411111111111 66.2761111111111 -13.3211111111111 147 129 220 3 5.1 75.4 6132 6131277
"109" 614 11 4 66.1916666666667 -14.4555555555556 66.2413888888889 -14.4436111111111 221 230 340 3 5 80.4 6144 6141177
"110" 614 12 4 66.0397222222222 -14.3566666666667 66.0816666666667 -14.43 107 173 230 3 5 78.4 6144 6141277
"111" 615 1 2 66.4138888888889 -15.4608333333333 66.4605555555556 -15.4922222222222 106 150 220 3 5 75 6152 6150177
"112" 616 11 1 66.3036111111111 -16.7011111111111 66.2697222222222 -16.7911111111111 194 191 275 3 5 75.2 6161 6161177
"113" 616 33 1 66.3822222222222 -16.7177777777778 66.4141666666667 -16.8172222222222 200 228 280 3 5 78 6161 6163377
"114" 616 36 2 66.2755555555556 -16.5183333333333 66.3080555555556 -16.5541666666667 69 55 100 2 5.4 64.2 6162 6163677
"115" 617 3 1 66.4588888888889 -17.4577777777778 66.45 -17.5780555555556 222 315 325 3 5 80.8 6171 6170377
"116" 617 12 2 66.2541666666667 -17.5005555555556 66.3038888888889 -17.5047222222222 211 225 315 3 4.8 82.2 6172 6171277
"117" 617 33 3 66.1513888888889 -17.5333333333333 66.1033333333333 -17.5552777777778 180 160 245 3 4.9 78.6 6173 6173377
"118" 617 35 3 66.1261111111111 -17.7763888888889 66.0977777777778 -17.7233333333333 140 179 200 2 5 78 6173 6173577
"119" 618 11 2 66.3938888888889 -18.4597222222222 66.3413888888889 -18.4591666666667 140 184 235 3 5.1 77.2 6182 6181177
"120" 618 12 2 66.4425 -18.1605555555556 66.4005555555556 -18.2338888888889 75 73 135 3 5.3 71.8 6182 6181277
"121" 618 31 2 66.0519444444444 -18.4925 66.0033333333333 -18.4477777777778 99 58 120 3 5.3 64 6182 6183177
"122" 619 1 1 66.3836111111111 -19.7744444444444 66.3325 -19.7877777777778 184 177 240 3 5 80.8 6191 6190177
"123" 619 4 2 66.3380555555556 -19.0594444444444 66.3875 -19.0783333333333 221 190 315 3 4.9 82 6192 6190477
"124" 620 1 3 66.2597222222222 -20.6505555555556 66.2088888888889 -20.63 187 158 255 3 5 77.2 6203 6200177
"125" 620 2 1 66.3933333333333 -20.8077777777778 66.4433333333333 -20.8094444444444 172 180 265 3 5 77.8 6201 6200277
"126" 621 14 4 66.1419444444444 -21.0375 66.0930555555556 -21.0222222222222 150 128 195 3 5 75.4 6214 6211477
"127" 622 1 3 66.1355555555556 -22.8938888888889 66.1647222222222 -23 124 122 135 3 5.2 69.8 6223 6220177
"128" 622 35 1 66.2805555555556 -22.7402777777778 66.2825 -22.8188888888889 91 96 105 2 5.3 62.8 6221 6223577
"129" 622 36 3 66.1166666666667 -23.0888888888889 66.1522222222222 -23.2091666666667 108 107 105 2 5.3 68 6223 6223677
"130" 622 37 3 66.0577777777778 -22.8722222222222 66.1102777777778 -22.9286111111111 77 69 90 2 5.4 62.4 6223 6223777
"131" 623 14 2 66.2758333333333 -23.1938888888889 66.3075 -23.305 62 71 110 3 5.2 64.6 6232 6231477
"132" 623 31 3 66.2027777777778 -23.8577777777778 66.1697222222222 -23.9563888888889 41 50 80 3 5.4 57.6 6233 6233177
