"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "sweep" "warp" "tow_dir" "tow_length" "gridcell" "station"
"1" 472 11 3 64.6516666666667 -22.7469444444444 64.5841666666667 -22.8075 44 57 35 100 205 4 4723 4721173
"2" 473 1 4 64.5830555555555 -23.0416666666667 64.5255555555556 -23.1075 67 99 35 135 208 4 4734 4730173
"3" 473 2 1 64.9755555555556 -23.9722222222222 65.0086111111111 -23.8347222222222 222 226 35 250 50 4 4731 4730273
"4" 473 11 3 64.5858333333333 -23.7347222222222 64.6158333333333 -23.6066666666667 127 137 35 160 65 4 4733 4731173
"5" 474 1 4 64.4847222222222 -24.5308333333333 64.5175 -24.3905555555556 138 204 35 230 75 4 4744 4740173
"6" 474 2 1 64.9402777777778 -24.7972222222222 64.925 -24.9472222222222 136 163 35 230 250 4 4741 4740273
"7" 474 4 4 64.6444444444444 -24.1805555555556 64.7 -24.2527777777778 110 140 35 160 320 4 4744 4740473
"8" 474 11 3 64.5963888888889 -24.7075 64.6166666666667 -24.5575 240 280 35 275 60 4 4743 4741173
"9" 474 12 2 64.8788888888889 -24.1694444444444 64.8266666666667 -24.2577777777778 162 182 35 280 215 4 4742 4741273
"10" 474 13 3 64.5955555555555 -24.6369444444444 64.5625 -24.5086111111111 247 237 35 280 119 4 4743 4741373
"11" 474 31 2 64.8269444444444 -24.05 64.8913888888889 -24.0994444444444 69 95 35 100 340 4 4742 4743173
"12" 475 1 3 64.6811111111111 -25.9333333333333 64.7011111111111 -25.7877777777778 210 232 35 260 70 4 4753 4750173
"13" 475 2 3 64.7666666666667 -25.4694444444444 64.7444444444444 -25.6055555555556 175 200 35 225 240 4 4753 4750273
"14" 475 3 1 64.9277777777778 -25.5111111111111 64.9333333333333 -25.6666666666667 161 179 35 215 290 4 4751 4750373
"15" 475 11 1 64.7772222222222 -25.7527777777778 64.8444444444444 -25.8027777777778 186 201 35 220 340 4 4751 4751173
"16" 475 12 3 64.5369444444444 -26.01 64.6041666666667 -26.0105555555556 200 228 35 290 360 4 4753 4751273
"17" 475 13 4 64.6880555555556 -25.0875 64.6702777777778 -25.2275 200 206 35 270 250 4 4754 4751373
"18" 476 1 2 64.8047222222222 -26.5222222222222 64.7394444444444 -26.4488888888889 203 191 35 240 145 4 4762 4760173
"19" 476 2 2 64.9511111111111 -26.3644444444444 65.0138888888889 -26.3916666666667 154 188 35 200 345 4 4762 4760273
"20" 476 3 2 64.99 -26.2194444444444 64.9502777777778 -26.3536111111111 164 178 35 230 248 4 4762 4760373
"21" 476 11 2 64.8625 -26.2586111111111 64.9305555555556 -26.2563888888889 171 186 35 250 355 4 4762 4761173
"22" 476 12 1 64.9866666666667 -26.6466666666667 64.9552777777778 -26.7852777777778 197 216 35 250 245 4 4761 4761273
"23" 477 11 2 64.9302777777778 -27.2527777777778 64.8605555555555 -27.2191666666667 380 408 35 450 170 4 4772 4771173
"24" 521 35 2 65.3955555555556 -21.1525 65.4363888888889 -21.1425 50 72 35 90 8 2.3 5212 5213573
"25" 521 36 2 65.4105555555556 -21.0030555555556 65.4430555555556 -21.0236111111111 66 72 35 110 344 2 5212 5213673
"26" 523 1 3 65.0583333333333 -23.5086111111111 65.0430555555556 -23.6666666666667 100 260 35 190 260 4 5233 5230173
"27" 523 12 3 65.0138888888889 -23.7138888888889 65 -23.8805555555556 148 241 35 240 260 4 5233 5231273
"28" 523 31 4 65.1925 -23.4086111111111 65.2125 -23.2647222222222 121 135 35 130 73 4 5234 5233173
"29" 523 35 1 65.2716666666667 -23.8419444444444 65.2980555555555 -23.7555555555556 62 57 35 75 63 2.5 5231 5233573
"30" 523 36 1 65.3175 -23.5980555555556 65.3483333333333 -23.5213888888889 66 55 35 75 41 2.5 5231 5233673
"31" 523 37 3 65.2144444444445 -23.5511111111111 65.2397222222222 -23.4827777777778 55 58 35 70 47 2.5 5233 5233773
"32" 523 38 3 65.15 -23.9333333333333 65.1411111111111 -24.1055555555556 76 98 35 90 250 4 5233 5233873
"33" 524 1 3 65.2722222222222 -24.7066666666667 65.2075 -24.7227777777778 89 96 35 95 190 4 5243 5240173
"34" 524 2 4 65.0291666666667 -24.4361111111111 65.0416666666667 -24.5972222222222 103 117 35 125 275 4 5244 5240273
"35" 524 11 3 65.2388888888889 -24.8583333333333 65.1722222222222 -24.8833333333333 96 107 35 110 205 4 5243 5241173
"36" 524 12 3 65.1688888888889 -25 65.1 -25 119 126 35 120 180 4 5243 5241273
"37" 525 1 3 65.0411111111111 -25.875 65.0527777777778 -26.0166666666667 170 174 35 185 280 4 5253 5250173
"38" 525 3 3 65.0138888888889 -25.6361111111111 65.0138888888889 -25.8 163 176 35 180 270 4 5253 5250373
"39" 525 11 1 65.3305555555555 -25.8166666666667 65.2861111111111 -25.9472222222222 139 148 35 160 250 4 5251 5251173
"40" 525 12 2 65.4433333333333 -25.3608333333333 65.4172222222222 -25.3008333333333 94 95 35 140 134 2 5252 5251273
"41" 525 13 3 65.2555555555556 -25.8888888888889 65.2152777777778 -26.0222222222222 148 157 35 165 250 4 5253 5251373
"42" 526 1 1 65.4061111111111 -26.6936111111111 65.4355555555556 -26.5583333333333 182 200 35 210 67 4 5261 5260173
"43" 526 2 4 65.0194444444444 -26.2555555555556 65.0166666666667 -26.4044444444444 159 174 35 190 270 4 5264 5260273
"44" 526 3 2 65.3555555555556 -26.4405555555556 65.4222222222222 -26.435 154 160 35 180 360 4 5262 5260373
